ProductName|StringID
Office 365 GCC G5 without Power BI and Phone System|ENTERPRISEPREMIUM_NOPBIPBX_GOV
Office 365 GCC G5 without Audio Conferencing|ENTERPRISEPREMIUM_NOPSTNCONF_NOPBI_GOV
Office 365 Advanced Compliance for GCC|EQUIVIO_ANALYTICS_GOV
Office 365 Midsize Business|MIDSIZEPACK
Office 365 Small Business|LITEPACK
Office 365 Small Business Premium|LITEPACK_P2
Office Mobile Apps for Office 365 for GCC|OFFICEMOBILE_SUBSCRIPTION_GOV_TEST
OneDrive for Business (Plan 1)|WACONEDRIVESTANDARD
OneDrive for Business (Plan 2)|WACONEDRIVEENTERPRISE
PowerApps & Flow GCC Test - O365 & Dyn365 Plans|POWERFLOWGCC_TEST
Power Apps and Logic Flows|POWERAPPS_INDIVIDUAL_USER
Power Apps per app baseline access|POWERAPPS_PER_APP_IW
Power Apps per app Plan|POWERAPPS_PER_APP
